male_waiting_time,female_waiting_time
2.66,7.74
29.82,35.82
26.58,4.76
42.72,3.23
23.86,19.74
28.74,40.51
39.73,23.56
6.04,2.25
14.25,30.87
24.97,21.01
19.63,9.16
32.83,11.92
20.84,38.13
21.39,9.86
38.32,6.21
33.75,42.49
20.29,42.95
49.22,45.07
49.54,7.05
25.43,16.48
20.5,44.42
9.43,28.44
41.41,3.78
32.56,30.92
41.06,23.97
44.88,24.59
37.45,10.74
45.7,47.21
49.52,26.18
18.51,17.71
27.81,10.96
16.45,33.49
18.7,20.42
22.6,40.26
13.45,6.0
23.0,39.72
23.68,6.18
36.28,21.29
7.2,36.9
43.47,15.24
37.21,24.34
11.38,12.31
38.2,6.0
3.2,41.04
37.43,34.51
45.69,14.98
7.72,28.16
45.85,30.42
5.34,47.74
15.71,44.32
36.12,14.01
5.94,21.94
32.82,8.75
9.79,40.17
41.72,1.36
32.18,41.6
19.49,25.34
40.93,20.66
1.74,32.05
10.82,42.49
24.23,3.52
38.64,10.06
6.15,43.53
49.24,41.78
14.02,45.6
1.55,39.84
24.87,12.94
11.42,41.26
11.57,22.4
41.59,45.81
6.42,28.59
21.06,38.97
44.59,3.39
18.59,46.32
8.35,37.78
19.63,26.84
3.99,32.34
24.92,34.03
23.16,48.22
3.81,31.9
14.25,24.75
48.88,34.28
14.65,16.13
11.8,16.92
6.06,6.92
40.1,46.0
45.09,21.81
11.39,32.03
30.37,27.34
16.72,31.88
19.21,28.35
31.61,20.35
1.75,31.61
20.78,20.71
44.75,26.31
37.5,34.81
11.86,19.54
3.83,17.81
22.78,21.22
16.08,2.05
41.9,46.16
25.47,5.5
22.66,10.49
26.59,27.33
20.11,37.0
15.39,8.05
6.43,6.76
45.18,43.22
44.87,4.71
22.72,19.17
38.59,20.97
44.08,6.91
36.6,2.37
15.35,30.46
26.42,14.73
46.49,26.75
11.09,23.6
45.51,8.8
42.09,6.82
31.99,16.11
9.52,10.95
43.55,28.26
13.68,39.29
3.31,12.37
4.74,11.72
41.29,48.91
13.99,21.83
21.4,31.57
42.86,17.95
15.24,28.73
7.81,49.93
27.47,23.59
16.8,49.61
39.66,5.18
19.93,35.09
9.07,7.15
31.52,43.97
41.75,11.7
33.64,12.52
10.85,48.53
1.75,11.22
5.82,49.56
20.04,25.55
31.74,10.69
40.2,14.12
35.35,26.38
3.74,12.96
28.14,27.03
23.96,45.23
46.67,24.8
27.49,49.08
27.56,38.12
9.83,23.37
12.57,23.2
24.39,47.91
26.23,44.84
27.04,22.46
31.34,10.45
46.2,22.17
25.1,46.8
25.83,5.66
20.78,28.53
34.29,24.64
30.0,3.18
35.89,40.74
47.32,20.04
26.98,16.85
8.65,3.26
14.33,23.89
8.9,1.63
44.02,12.32
40.77,48.57
33.05,34.45
34.31,32.32
31.47,2.48
40.29,35.23
24.65,44.27
27.0,3.52
45.51,5.57
16.64,2.96
37.66,39.53
1.27,21.35
29.29,37.15
6.96,8.71
9.53,11.05
49.61,46.88
28.1,2.38
7.28,25.9
23.38,36.8
15.61,8.32
12.15,43.69
33.87,17.74
20.1,19.91
10.12,12.14
1.95,49.79
19.16,46.7
3.93,6.36
8.94,36.13
24.78,18.9
15.66,3.55
32.56,10.33
24.38,7.46
48.44,8.39
37.46,20.25
29.75,35.16
48.44,22.15
4.89,40.14
29.56,42.64
41.16,34.79
39.37,25.82
48.55,18.17
47.95,14.85
1.29,8.77
31.77,22.3
6.02,8.73
26.64,15.77
16.78,13.64
34.63,26.3
48.32,45.97
38.25,43.0
8.45,36.1
10.28,32.19
43.45,22.19
6.64,10.79
17.56,40.91
4.52,9.78
18.25,6.7
7.44,43.39
29.42,33.58
40.62,37.27
32.08,11.21
42.76,5.64
8.12,49.79
45.2,34.02
12.21,33.55
19.57,26.18
43.1,14.89
19.36,23.58
41.94,9.76
31.91,16.19
13.01,2.97
43.48,32.42
5.28,29.68
10.71,3.59
35.34,24.97
34.29,33.03
44.82,2.21
40.78,18.14
19.3,47.81
26.51,25.37
38.78,45.95
37.13,40.8
1.44,39.68
37.91,43.24
36.22,6.02
32.9,30.57
28.43,36.85
38.44,14.14
5.45,32.29
10.65,10.96
6.6,46.46
37.92,27.63
31.52,27.6
13.26,35.46
49.44,30.95
33.4,5.29
3.59,20.77
7.87,38.32
22.23,29.54
29.57,49.71
8.63,18.35
27.52,3.95
45.42,11.56
43.01,13.85
23.14,39.22
19.86,11.87
38.58,38.7
32.86,42.59
6.77,19.25
42.38,36.92
7.5,5.65
23.5,34.17
41.16,37.22
3.54,21.04
26.67,21.91
32.96,15.18
11.43,26.25
39.86,8.83
31.22,1.91
16.23,49.81
5.3,26.58
43.43,18.17
26.28,23.58
31.31,44.3
32.77,3.84
46.63,4.74
27.32,4.39
7.78,9.02
12.23,29.26
26.1,37.57
31.0,15.16
40.23,23.1
13.12,4.13
17.08,17.45
20.42,21.48
7.29,38.23
46.41,14.28
45.95,19.1
29.64,35.38
26.05,2.09
18.02,37.82
29.14,9.98
14.6,46.43
42.43,6.7
24.98,27.9
45.77,5.97
31.89,35.68
15.01,23.36
18.56,48.4
11.07,7.45
18.24,19.76
26.65,11.35
16.52,3.83
14.5,41.16
30.59,13.27
4.24,23.8
17.04,37.59
1.81,1.28
30.65,40.99
45.04,26.85
33.46,4.66
46.5,16.34
28.83,26.85
23.29,7.32
4.88,16.12
12.71,43.89
13.2,22.53
43.33,25.76
20.28,46.81
46.37,8.2
23.07,22.34
41.56,25.96
31.28,7.72
3.92,49.01
41.51,28.43
17.93,5.5
43.81,47.17
17.85,13.94
22.17,7.98
35.23,33.98
20.69,41.5
16.42,1.85
48.09,11.15
4.89,26.09
2.22,27.81
49.25,48.49
16.9,36.02
45.5,8.93
21.95,38.69
43.5,33.42
5.53,31.35
22.8,26.73
19.72,12.1
46.32,6.26
15.81,7.42
31.68,5.09
18.13,14.45
49.12,1.73
44.92,3.67
43.72,32.05
15.81,9.18
14.67,33.27
18.06,1.66
2.53,19.42
11.27,47.57
27.96,47.1
6.2,17.76
9.34,1.09
44.54,43.16
40.67,1.06
20.04,33.45
37.82,13.44
10.99,25.7
10.57,28.88
38.98,12.24
9.99,31.54
46.22,35.88
8.79,14.84
14.47,46.34
30.05,38.77
14.62,16.9
20.89,10.66
7.74,15.69
6.59,6.08
25.81,14.56
19.53,22.81
43.03,3.76
10.6,34.01
26.35,21.67
19.7,6.7
17.46,22.64
27.27,12.73
10.24,44.73
13.72,14.66
20.65,24.0
43.24,42.43
27.37,18.26
29.64,9.47
35.47,44.9
18.66,32.13
12.41,28.76
31.88,10.93
41.65,2.43
4.73,1.26
10.83,32.76
9.98,11.8
40.11,11.92
37.63,44.42
47.39,5.28
29.48,31.8
6.0,2.33
45.02,44.21
43.33,12.68
25.8,42.21
13.72,46.76
22.13,35.59
5.69,20.85
3.49,33.67
29.18,27.56
31.01,25.06
1.47,47.69
43.41,1.83
48.43,21.9
49.27,48.3
25.44,30.64
28.47,47.27
48.78,14.11
6.41,48.95
17.49,47.92
10.65,1.03
5.83,11.6
36.04,38.21
24.88,29.57
14.53,11.93
9.86,11.25
39.54,48.32
7.7,9.34
36.9,44.72
35.47,43.07
45.32,48.0
49.73,11.29
25.61,18.3
30.93,38.87
45.57,17.15
47.81,10.73
48.11,1.59
21.27,6.13
6.8,35.36
46.31,19.67
16.52,45.15
12.36,43.2
47.66,18.11
18.36,40.11
6.31,1.06
2.06,29.98
38.36,45.77
24.04,46.78
6.86,20.45
24.34,43.29
43.35,37.02
6.21,32.39
1.39,43.88
37.43,32.46
34.83,28.68
41.47,10.55
41.12,6.37
32.38,24.94
39.74,11.94
34.54,4.27
3.04,19.57
38.35,27.52
17.89,40.82
13.11,49.29
3.96,49.59
48.9,23.98
36.92,23.15
12.11,30.56
26.27,13.16
34.58,49.76
40.45,13.28
8.62,7.9
36.09,24.78
8.57,31.73
31.24,48.91
11.74,25.7
45.31,33.82
37.48,35.97
15.87,31.74
48.6,14.2
2.38,23.16
11.15,12.64
15.44,31.58
39.1,46.04
45.11,40.95
33.63,38.22
17.15,35.31
29.16,24.32
19.33,31.6
23.62,26.95
39.49,18.81
24.93,22.59
49.56,30.52
11.12,43.97
6.55,16.4
15.67,37.69
35.51,44.86
20.31,3.22
34.69,47.13
34.52,36.63
24.56,21.01
21.28,15.32
31.97,17.66
23.79,28.26
23.57,20.62
16.55,3.89
28.02,12.44
7.26,25.82
37.94,46.83
41.82,6.18
16.93,41.88
19.07,36.74
20.91,26.23
26.75,6.98
11.11,14.15
43.1,42.81
29.33,44.83
32.74,10.6
33.5,30.57
29.33,39.87
9.11,10.64
15.73,31.32
29.25,16.76
22.42,19.31
47.27,10.75
31.79,45.27
8.49,2.87
5.57,15.11
16.94,27.14
